timestamp_utc,pg_orders,pg_payments,pg_customers,pg_products,mongo_orders,mongo_products,mongo_users,synthetic_files,synthetic_bytes,latest_exported_cycle
2026-05-06T11:42:05.637009+00:00,16800,13488,6,8,142,4,3,1006,1881948160,
2026-05-06T11:42:16.693380+00:00,16800,13488,6,8,142,4,3,1006,1881948160,
2026-05-06T11:42:27.684490+00:00,16850,13529,6,8,142,4,3,1006,1881948160,
2026-05-06T11:42:38.675504+00:00,16850,13529,6,8,142,4,3,1006,1881948160,
2026-05-06T11:42:49.658774+00:00,16850,13529,6,8,192,4,3,1006,1881948160,
2026-05-06T11:43:00.545190+00:00,16850,13529,6,8,192,4,3,1006,1881948160,
2026-05-06T11:43:11.539901+00:00,16850,13529,6,8,192,4,3,1006,1881948160,
2026-05-06T11:43:22.641400+00:00,16900,13567,6,8,192,4,3,1006,1881948160,
2026-05-06T11:43:33.762379+00:00,16900,13567,6,8,192,4,3,1006,1881948160,
2026-05-06T11:43:44.717003+00:00,16900,13567,6,8,192,4,3,1006,1881948160,
2026-05-06T11:53:24.181124+00:00,17500,14052,6,8,249,4,3,106,1872732160,
2026-05-06T11:53:35.509119+00:00,17500,14052,6,8,249,4,3,106,1872732160,
2026-05-06T11:53:46.612892+00:00,17500,14052,6,8,249,4,3,106,1872732160,
2026-05-06T11:53:57.555731+00:00,17500,14052,6,8,249,4,3,106,1872732160,
2026-05-06T11:54:08.674915+00:00,17500,14052,6,8,249,4,3,106,1872732160,
2026-05-06T11:54:19.719752+00:00,17500,14052,6,8,291,4,3,106,1872732160,
2026-05-06T11:54:31.382491+00:00,17550,14092,6,8,291,4,3,106,1872732160,
2026-05-06T11:54:42.342573+00:00,17550,14092,6,8,291,4,3,106,1872732160,
2026-05-06T11:54:53.951276+00:00,17550,14092,6,8,291,4,3,106,1872732160,
2026-05-06T11:55:04.935852+00:00,17550,14092,6,8,291,4,3,106,1872732160,
2026-05-06T11:55:15.943419+00:00,17550,14092,6,8,291,4,3,106,1872732160,
2026-05-06T11:55:26.800617+00:00,17600,14135,6,8,341,4,3,106,1872732160,
2026-05-06T11:55:37.714920+00:00,17600,14135,6,8,341,4,3,106,1872732160,
2026-05-06T11:55:48.905958+00:00,17600,14135,6,8,341,4,3,106,1872732160,
